DSA-CHP4248.ad.unc.edu. 1200    IN      A       152.2.179.5
DSACHQS1SRVR.ad.unc.edu. 1200   IN      A       152.2.179.5 
DSAC328CDERMDR.ad.unc.edu. 1200 IN      A       152.2.179.154
DSACH-F-32G-1.ad.unc.edu. 1200  IN      A       152.2.179.250
DSACH-Labfront2.ad.unc.edu. 1200 IN     A       152.2.179.105
DSACH-SHS-Lab1.ad.unc.edu. 1200 IN      A       152.2.179.100
DSACH001STLGDK.ad.unc.edu. 1200 IN      A       152.2.179.167
DSACH001STLNGMB.ad.unc.edu. 1200 IN     A       152.2.179.45 
DSACH003PHARM20.ad.unc.edu. 1200 IN     A       152.2.179.143
DSACH003RX.ad.unc.edu.  1200    IN      A       152.2.179.93 
DSACH007PRTCPFX.ad.unc.edu. 1200 IN     A       152.2.179.196
DSACH010STLGKSK.ad.unc.edu. 1200 IN     A       152.2.179.195
DSACH016-OTCPOS.ad.unc.edu. 1200 IN     A       152.2.179.115
DSACH016OTCWIND.ad.unc.edu. 1200 IN     A       152.2.179.116
DSACH016POS-OTC.ad.unc.edu. 1200 IN     A       152.2.179.178
DSACH016SHOPWIN.ad.unc.edu. 1200 IN     A       152.2.179.91 
DSACH0181AALFAR.ad.unc.edu. 1200 IN     A       152.2.179.193
DSACH023ATSMITH.ad.unc.edu. 1200 IN     A       152.2.179.248
DSACH023ATSTATO.ad.unc.edu. 1200 IN     A       152.2.179.128
DSACH023BASEBALL.ad.unc.edu. 1200 IN    A       152.2.179.211
DSACH023BOSHBOX.ad.unc.edu. 1200 IN     A       152.2.179.219
DSACH023FTBLDSK.ad.unc.edu. 1200 IN     A       152.2.179.101
DSACH023JHONEY.ad.unc.edu. 1200 IN      A       152.2.179.127
DSACH023JWHONEY.ad.unc.edu. 1200 IN     A       152.2.179.112
DSACH023OLIAROW530.ad.unc.edu. 1200 IN  A       152.2.179.173
DSACH023PT07.ad.unc.edu. 1200   IN      A       152.2.179.96 
DSACH023PT099.ad.unc.edu. 1200  IN      A       152.2.179.98 
DSACH023PTAT3.ad.unc.edu. 1200  IN      A       152.2.179.164
DSACH023RSTRATT.ad.unc.edu. 1200 IN     A       152.2.179.161
DSACH023WALKER.ad.unc.edu. 1200 IN      A       152.2.179.204
DSACH02STLGDSK.ad.unc.edu. 1200 IN      A       152.2.179.146
DSACH02STLGNALX.ad.unc.edu. 1200 IN     A       152.2.179.217
DSACH03PHARM13.ad.unc.edu. 1200 IN      A       152.2.179.181
DSACH03PHARM22.ad.unc.edu. 1200 IN      A       152.2.179.200
DSACH03PHARM23.ad.unc.edu. 1200 IN      A       152.2.179.205
DSACH03PHARM24.ad.unc.edu. 1200 IN      A       152.2.179.235
DSACH03PHARM25.ad.unc.edu. 1200 IN      A       152.2.179.132
DSACH03PHARM26.ad.unc.edu. 1200 IN      A       152.2.179.247
DSACH03PHARM27.ad.unc.edu. 1200 IN      A       152.2.179.177
DSACH03PHARM28.ad.unc.edu. 1200 IN      A       152.2.179.126
DSACH03PHARM30.ad.unc.edu. 1200 IN      A       152.2.179.93 
DSACH03PHARM31.ad.unc.edu. 1200 IN      A       152.2.179.138
